,seed,actions
33,699,"[2, 1, 3, 1, 1, 2, 1, 2, 2, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 0, 0, 3, 1, 2, 1, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 1, 2, 2, 2, 0, 3, 0, 3, 1, 3, 0, 2, 3, 1, 1, 2, 3, 2, 0, 3, 0, 2, 0, 0, 3, 1, 2, 1, 2, 1, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 0, 3, 0, 3, 1, 2, 2, 1, 3, 1, 2, 3, 3, 0, 0]"
34,700,"[2, 0, 1, 2]"
35,701,[]
36,702,"[3, 0, 3, 2, 3, 1, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 2, 2, 0, 3]"
37,703,"[3, 1, 3, 1, 2, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 3, 3, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 0, 3, 1, 3, 2, 2, 1, 3, 3]"
38,704,"[3, 2, 0, 0, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 2, 0, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 1, 3, 0, 0]"
39,705,[]
40,706,[]
41,707,[]
42,708,"[0, 3, 0, 0, 2, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 2, 3, 0, 2, 2, 2, 1, 3]"
43,709,[]
44,710,"[3, 0, 2, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0]"
45,711,"[2, 1, 2]"
46,712,"[2, 0, 1, 1, 0, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 0, 0]"
47,713,[]
48,714,[]
49,715,[]
50,716,[]
51,717,[]
52,718,"[2, 2, 1, 3, 2, 3, 0, 2, 2, 1, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 3, 2, 0, 3, 2, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 0, 3, 3, 0, 3, 1, 2, 1, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 3, 1, 3, 2, 0, 3, 2, 3, 0, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 3, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 0, 3, 3, 0, 3, 1, 3, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 0, 2, 2, 0, 3, 3, 3, 3, 1, 2, 2]"
53,719,[]
54,720,[]
55,721,"[3, 3, 0, 0, 2, 2, 2, 1, 3, 1, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 0, 3, 0, 3, 1, 3, 2, 0, 3, 2, 3, 1, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3]"
56,722,[]
57,723,[]
58,724,"[3, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 3, 3, 0, 2, 2, 3, 3, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 3, 2, 0, 3, 1, 3, 2, 0, 3, 1, 3, 3]"
59,725,"[1, 3, 2, 3, 1, 3, 1, 1, 2, 3, 0, 3, 0, 2, 2, 0, 3, 2, 3, 1, 3, 1, 2, 2, 2, 0, 0, 0, 3, 3, 3, 1]"
60,726,"[3, 3, 3, 1, 2, 1, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 0, 3, 0, 2, 2, 1, 3, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 0, 3, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 3, 3, 3, 1, 2, 1, 2, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 2, 2, 2, 1, 3, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 0, 3, 3, 0, 3, 0, 2, 2, 2, 0, 3, 3, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 2, 2, 0, 2, 0, 3, 0, 3, 3, 3, 0, 2, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 1, 3, 3, 1, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 2, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 2, 3, 1, 3, 1, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 0, 2, 0, 2, 2, 2, 2, 0, 3, 3, 3, 0, 3, 1, 3, 2, 2, 2, 2, 2, 1, 3, 3, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 0, 3, 3, 0, 3, 0, 3, 1, 2, 1, 2, 3, 0, 3, 0, 3, 0, 2, 2, 2, 2, 2, 1, 3, 3, 1, 2, 2, 1, 3, 1, 3, 1, 3, 3, 0, 3, 0, 2, 3, 2, 1, 1, 2, 2, 0, 3, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 0, 3, 3, 1, 2, 3, 3, 1, 2, 3, 2, 1, 2, 2, 2, 0, 0, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 3, 3, 1, 1, 2, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 2, 2, 0, 3, 2, 3, 0, 3, 0, 3, 1, 2, 1, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 2, 0, 3, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 3, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 0, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 2, 3, 1, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 2, 0, 3, 3, 3, 3, 1, 2, 3, 0, 3, 0, 2, 2, 2, 2, 2, 1, 3, 3, 1, 2, 2, 1, 3, 3, 3, 1, 3, 0, 0, 2, 3, 1, 3, 1, 2, 2, 2, 2, 2, 0, 3, 3, 0, 2, 2, 0, 3, 3, 3, 0, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 2, 0, 0, 3, 3, 3, 1, 3, 1, 2, 2, 3, 3, 1, 3, 1, 2, 2, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 3, 0, 2, 0, 2, 1, 3, 1, 2, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 3, 0, 2, 2, 0, 2, 1, 3, 1, 2, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 0, 0, 0, 3, 0, 2, 2, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 1, 1]"
61,727,"[1, 2, 3, 2, 0, 2, 2, 2, 1, 3, 1, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 0, 3, 2, 1, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 0, 2, 2, 0, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 3, 1, 1, 2, 3, 0, 2, 0, 3, 0, 3, 3, 1, 2, 3, 3, 0, 2, 2, 2, 2, 1, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 0, 3, 2, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 2, 3, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 1]"
62,728,"[1, 3, 2, 3, 1, 3, 3, 0, 3, 2, 3, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 0]"
63,729,"[1, 2, 0, 3, 1, 3, 2, 2, 0, 0, 1, 3, 1, 3, 3, 2, 2, 2, 0, 0, 0, 1, 1, 3, 1, 3, 3, 3, 2, 2, 2, 2, 0, 0, 0, 0]"
64,730,"[3, 0, 0, 3, 2, 1, 1, 2, 2, 0, 3, 2, 3, 0, 0, 3, 2, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 3]"
65,731,[]
66,732,"[1, 3, 2, 3, 0, 3, 1]"
67,733,[]
68,734,"[2, 3, 1, 2, 0, 2, 3, 1, 2]"
69,735,[]
70,736,"[3, 3, 3, 0, 0, 0, 2, 1, 1, 3, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1]"
71,737,[]
72,738,[]
73,739,[]
74,740,[]
75,741,"[3, 1, 3, 2, 3, 1, 3, 3, 3, 0, 2, 0, 2, 2, 2, 2, 1, 1, 3, 2, 3, 1, 3, 3, 3, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 1, 3, 3, 0, 3, 0, 0, 2, 2, 1, 3, 2, 3, 1, 1, 2, 2, 0, 3, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 3, 3, 0, 3, 1, 2, 1]"
76,742,"[3, 3, 3, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 2, 2, 1, 3, 3, 1, 3, 0, 3, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 0, 0, 3, 1, 2, 1, 2, 3, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1, 1, 2, 2, 0, 3, 3, 2, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 2, 0, 3, 3, 0, 3, 1, 2, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 2, 2, 1, 3, 3, 1, 3, 0, 0, 3, 2, 2, 2, 2, 1, 3, 3, 3, 1, 3, 0, 2, 0, 0, 3, 1, 2, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 2, 2, 1, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 2, 2, 0, 3, 3, 3, 0, 3, 0, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 1, 3, 3, 3, 0, 2, 3, 1, 3, 0, 0, 0, 2, 1, 3, 1, 2, 3, 2, 1, 3, 1, 2, 2, 0, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 3, 1, 2, 2, 3, 3, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 2, 0, 3, 0, 2]"
77,743,"[2, 3, 0, 0, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 0, 0, 2, 2, 1, 3, 1, 1, 3, 2, 0, 0, 2, 2, 0, 3, 3, 3, 1, 2, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 3, 1, 2, 3, 0, 0, 2, 3, 2, 1, 3, 1, 1, 2, 3, 0, 2, 0, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 1, 2, 3, 0, 2, 0, 3, 0, 2, 3, 2, 1, 3, 1, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 0, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 2, 3, 1, 1, 2, 3, 0, 2, 0, 2, 3, 3, 1, 1, 1, 2, 1, 1, 3, 0, 0, 0]"
78,744,"[1, 3, 2, 3, 1, 2, 2, 2, 0, 3]"
79,745,"[0, 3, 2, 1, 3, 0, 3, 2, 1, 3, 0, 3, 2, 1, 3, 0, 3]"
80,746,[]
81,747,[]
82,748,[]
83,749,"[1, 3, 2, 3, 1, 3, 3, 1, 1, 1, 2, 3, 0, 0, 2, 0, 3, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 1, 1, 1, 1]"
84,750,[]
85,751,"[3, 0, 3, 2, 1, 2, 1, 3, 2, 3, 0, 0, 3, 0, 0, 2, 1, 1, 1, 2, 1, 1, 3, 0, 3, 2, 0, 0, 0, 3, 0, 2]"
86,752,"[0, 3, 0, 3, 0, 2, 2, 3, 3, 1, 2, 1, 2, 0]"
